"tx_id","tx_biotype","tx_seq_start","tx_seq_end","tx_cds_seq_start","tx_cds_seq_end","gene_id","tx_name","gene_name"
"ENST00000398636","protein_coding",79610939,79615440,79611826,79614113,"ENSG00000122852","ENST00000398636","SFTPA1"
"ENST00000428376","protein_coding",79610939,79615440,79611826,79614113,"ENSG00000122852","ENST00000428376","SFTPA1"
"ENST00000419470","protein_coding",79610945,79615455,79611620,79614113,"ENSG00000122852","ENST00000419470","SFTPA1"
"ENST00000429958","protein_coding",79610953,79613840,79611826,79613840,"ENSG00000122852","ENST00000429958","SFTPA1"
"ENST00000439264","protein_coding",79610955,79613840,79611826,79613840,"ENSG00000122852","ENST00000439264","SFTPA1"
"ENST00000486922","retained_intron",79610961,79611898,NA,NA,"ENSG00000122852","ENST00000486922","SFTPA1"
